User ID,Session Duration,Pages Visited,Items Viewed,Login Frequency,Cart Additions,Successful Transactions,Failed Transactions,Device Type,Authentication Method,Age,Location
9870,2,2,14,2,4,3,1,Desktop,Password,31,Ghana
466,39,8,13,1,1,0,1,Tablet,OTP,49,Northern Mariana Islands
2851,68,7,5,5,1,2,0,Mobile,Biometric,18,Croatia
2093,99,6,13,5,4,1,1,Desktop,Not Required,45,Moldova
8386,112,10,7,5,0,1,0,Mobile,Biometric,19,Tonga
677,41,1,13,2,3,2,0,Mobile,Biometric,29,Turks and Caicos Islands
1263,71,5,1,5,5,2,0,Mobile,OTP,34,Benin
5683,22,9,17,10,1,1,1,Desktop,Not Required,23,Saint Helena
7494,47,3,5,1,4,3,0,Desktop,Password,52,Slovenia
99,35,5,3,2,4,3,0,Desktop,Password,32,Niue
5719,11,7,4,3,2,0,1,Tablet,Password,47,French Southern Territories
9597,68,9,14,1,2,0,0,Tablet,Password,33,Cameroon
1243,42,1,9,2,0,1,0,Mobile,Biometric,46,Saint Vincent and the Grenadines
2067,92,8,8,10,5,0,0,Tablet,Biometric,60,Libyan Arab Jamahiriya
5813,72,7,15,5,5,1,0,Desktop,Not Required,66,Kyrgyz Republic
3259,17,10,2,2,3,2,1,Mobile,Biometric,59,Gibraltar
3512,55,8,15,1,4,0,1,Tablet,Biometric,64,Sao Tome and Principe
5407,114,4,2,1,3,1,1,Tablet,OTP,59,Portugal
6613,4,2,20,5,5,3,0,Desktop,Password,20,Antigua and Barbuda
6684,11,6,5,5,4,2,0,Tablet,Biometric,34,Tunisia
5386,118,2,8,2,2,3,1,Desktop,Password,67,Central African Republic
9652,101,6,3,1,1,2,0,Desktop,Password,35,Serbia
2686,39,7,10,3,1,3,0,Desktop,Password,36,Peru
7256,101,7,8,5,0,1,0,Mobile,Biometric,18,Egypt
4888,107,1,4,3,4,1,0,Tablet,Biometric,37,Mauritius
7529,31,8,15,1,2,1,0,Desktop,Not Required,63,Cocos (Keeling) Islands
654,24,3,3,5,4,1,0,Mobile,OTP,59,Lithuania
2817,118,1,13,5,1,3,1,Desktop,Password,49,Nepal
2408,58,2,11,3,2,1,0,Mobile,Biometric,56,Wallis and Futuna
5697,38,9,11,1,0,2,1,Tablet,OTP,48,Korea
9195,70,3,13,10,1,0,1,Desktop,Not Required,66,Fiji
6031,2,9,4,2,3,0,0,Desktop,Not Required,59,Lao People's Democratic Republic
6228,69,3,5,2,0,0,0,Tablet,Password,23,Comoros
8167,55,10,12,3,4,1,0,Desktop,Not Required,31,Thailand
4455,37,9,13,3,5,2,0,Mobile,OTP,46,Iraq
4821,22,6,12,3,0,0,1,Mobile,OTP,58,Seychelles
6329,46,9,6,5,5,2,1,Tablet,Biometric,66,Malawi
5684,17,10,17,2,2,0,0,Desktop,Not Required,38,Bermuda
62,77,5,20,2,2,1,0,Mobile,OTP,63,Madagascar
331,119,10,2,10,1,2,1,Tablet,OTP,45,Bahrain
1347,36,1,13,2,1,1,0,Mobile,OTP,29,Malta
7137,77,2,15,5,3,3,1,Desktop,Password,55,Monaco
9339,40,6,3,3,5,1,0,Mobile,Biometric,39,Turkmenistan
9904,4,6,6,3,5,2,1,Desktop,Password,36,Tunisia
42,117,7,8,10,2,0,0,Tablet,OTP,40,United Arab Emirates
5567,23,1,19,2,0,1,1,Desktop,Not Required,62,Isle of Man
9938,8,1,13,2,2,2,1,Mobile,OTP,31,Sao Tome and Principe
6415,43,10,17,1,2,1,0,Mobile,Biometric,67,Reunion
8777,103,2,2,10,2,0,0,Tablet,Password,53,Switzerland
3607,101,2,6,3,0,1,1,Tablet,Password,63,Turks and Caicos Islands
9390,36,3,17,2,4,2,0,Mobile,Biometric,31,Grenada
1951,113,9,11,5,2,1,1,Mobile,Biometric,24,Oman
8804,2,9,10,1,2,3,1,Mobile,OTP,55,Nigeria
585,47,9,1,10,5,0,1,Desktop,Not Required,56,Guadeloupe
6247,56,5,2,10,3,3,0,Tablet,Password,30,Latvia
2974,50,9,16,2,1,2,1,Desktop,Password,30,New Zealand
3364,109,6,10,10,5,2,0,Tablet,Biometric,31,Costa Rica
5058,120,8,20,10,0,0,1,Desktop,Not Required,50,Korea
199,72,3,9,2,5,2,0,Mobile,Biometric,39,South Georgia and the South Sandwich Islands
6620,98,8,4,3,3,2,0,Tablet,OTP,63,Niger
318,113,2,18,1,4,3,1,Tablet,Biometric,59,Somalia
8271,46,8,7,3,4,3,1,Mobile,OTP,38,Cook Islands
9189,2,1,16,10,3,3,1,Desktop,Password,32,New Caledonia
5642,58,2,12,10,0,0,1,Tablet,OTP,64,Guinea
2515,32,7,2,3,0,2,1,Desktop,Password,59,Swaziland
4830,54,5,4,2,4,1,1,Mobile,Biometric,44,Germany
2057,60,6,15,10,0,3,0,Tablet,OTP,31,Jersey
4561,111,3,20,10,5,2,1,Mobile,OTP,40,Seychelles
2066,74,5,10,10,2,3,1,Mobile,OTP,69,France
7101,106,4,13,5,1,3,1,Desktop,Password,69,French Guiana
6725,115,8,19,5,0,0,0,Tablet,OTP,51,Burundi
750,115,6,19,10,3,1,0,Desktop,Not Required,55,Jamaica
5281,103,3,16,3,4,3,1,Desktop,Password,65,Iran
4725,36,7,4,5,1,0,0,Desktop,Not Required,24,Tajikistan
3615,37,4,9,1,5,2,0,Tablet,Biometric,66,Guyana
3895,100,6,16,1,5,2,0,Mobile,OTP,53,Turkmenistan
8778,72,9,5,1,3,1,0,Desktop,Not Required,38,Reunion
1388,85,2,2,5,0,1,0,Desktop,Not Required,36,Martinique
1544,90,2,7,1,4,1,0,Desktop,Not Required,36,Saudi Arabia
1622,82,5,6,2,0,0,0,Desktop,Not Required,18,Barbados
8133,101,5,16,3,0,3,1,Desktop,Password,43,Uganda
5077,60,3,1,1,5,1,1,Mobile,OTP,39,Turkey
9257,63,2,20,2,3,3,1,Desktop,Password,22,Belize
2239,41,7,2,1,2,2,0,Mobile,Biometric,60,Marshall Islands
1377,64,3,2,5,0,1,0,Desktop,Not Required,44,Vanuatu
4290,8,2,7,1,0,3,1,Tablet,Password,45,Palau
2883,5,2,19,2,3,3,0,Tablet,OTP,70,Central African Republic
445,77,2,13,3,5,0,0,Tablet,Biometric,27,Philippines
19,63,10,3,1,1,0,0,Desktop,Not Required,44,Lao People's Democratic Republic
9619,53,4,15,10,0,0,0,Desktop,Not Required,43,Guam
9502,9,4,8,5,1,0,0,Tablet,OTP,28,Portugal
836,49,8,3,2,4,2,0,Tablet,Biometric,70,Thailand
1499,105,10,1,10,5,2,0,Desktop,Password,54,Botswana
6390,111,9,19,3,0,0,1,Desktop,Not Required,64,Guernsey
7190,65,6,20,5,3,1,0,Tablet,OTP,43,Guadeloupe
7337,17,4,1,2,2,3,1,Mobile,OTP,44,Libyan Arab Jamahiriya
3505,82,8,6,5,0,1,1,Desktop,Not Required,45,Tajikistan
2726,73,5,1,10,1,1,1,Desktop,Not Required,70,Bosnia and Herzegovina
8960,86,4,10,1,5,1,0,Tablet,Biometric,20,Kazakhstan
1457,97,8,13,5,5,2,0,Tablet,Biometric,40,Cameroon
9284,30,9,10,10,3,1,1,Tablet,OTP,34,Antarctica (the territory South of 60 deg S)
9533,54,1,10,1,1,2,0,Desktop,Password,48,France
3446,57,10,7,1,0,0,0,Desktop,Not Required,34,Mauritania
9498,104,10,14,3,5,2,0,Mobile,Biometric,42,Latvia
6289,100,6,16,3,3,1,0,Mobile,Biometric,67,Venezuela
5058,70,9,20,2,4,3,1,Tablet,Biometric,50,Korea
6219,70,1,19,1,1,3,0,Mobile,Biometric,19,Guyana
5794,66,6,4,5,4,2,0,Mobile,OTP,57,Western Sahara
8321,21,1,18,5,4,2,1,Mobile,OTP,44,Bahamas
2563,30,6,13,2,3,1,0,Desktop,Not Required,56,Benin
1538,40,4,16,2,5,1,1,Mobile,OTP,46,Fiji
8796,103,4,1,10,3,0,0,Tablet,OTP,62,Taiwan
5312,28,10,1,3,5,0,1,Tablet,Biometric,22,British Virgin Islands
4228,14,7,10,5,0,2,1,Mobile,Biometric,60,Nigeria
9757,84,10,18,2,5,3,0,Tablet,Biometric,49,Western Sahara
1709,6,9,13,1,1,0,1,Tablet,OTP,69,New Caledonia
9846,70,10,17,2,5,0,0,Desktop,Not Required,33,Ecuador
7019,95,10,18,10,2,3,1,Desktop,Password,57,Aruba
6160,90,2,3,3,2,3,1,Tablet,OTP,23,Nigeria
4471,104,7,17,3,4,3,1,Desktop,Password,66,Austria
2267,86,7,13,5,2,1,0,Tablet,OTP,25,Sri Lanka
3999,83,8,5,1,5,3,1,Mobile,OTP,18,United States Minor Outlying Islands
4360,109,7,15,1,2,3,0,Tablet,OTP,43,Saint Lucia
2861,85,1,7,10,0,3,0,Mobile,OTP,62,Guam
8478,10,6,7,3,3,1,1,Mobile,Biometric,44,Costa Rica
1598,92,2,6,5,4,3,0,Tablet,Biometric,23,Puerto Rico
3769,38,6,1,5,1,2,1,Mobile,OTP,56,Saint Barthelemy
9913,88,6,8,2,2,0,1,Desktop,Not Required,51,Equatorial Guinea
6382,12,8,11,3,5,1,1,Desktop,Not Required,60,Anguilla
1173,99,10,5,2,0,1,1,Mobile,OTP,70,Oman
5849,61,5,14,2,0,0,0,Desktop,Not Required,47,Slovakia (Slovak Republic)
3676,112,4,6,3,2,1,0,Mobile,OTP,29,Bouvet Island (Bouvetoya)
4926,42,5,7,1,0,1,0,Mobile,Biometric,28,Slovenia
3133,119,1,17,5,1,3,1,Mobile,Biometric,70,French Southern Territories
1833,120,10,1,5,0,0,1,Tablet,OTP,70,Syrian Arab Republic
7938,19,2,1,10,3,1,0,Desktop,Not Required,40,Bolivia
9607,60,8,14,3,4,1,1,Mobile,Biometric,69,Isle of Man
9408,44,4,13,3,0,1,1,Mobile,Biometric,22,Mali
270,96,7,11,2,1,0,1,Desktop,Not Required,18,Estonia
2692,29,1,7,2,3,2,1,Tablet,OTP,33,Lebanon
3657,68,4,5,3,2,0,0,Mobile,OTP,51,Malta
7830,11,10,6,3,1,1,1,Mobile,Biometric,70,Bulgaria
9308,91,3,9,5,3,1,1,Mobile,OTP,47,Syrian Arab Republic
6435,48,8,20,5,4,1,1,Tablet,Biometric,50,Vanuatu
7157,85,6,1,2,4,2,0,Mobile,OTP,27,Sweden
5616,57,10,20,3,5,0,0,Desktop,Not Required,69,Martinique
1225,71,9,8,10,2,1,0,Mobile,Biometric,24,Portugal
9739,19,4,13,10,2,2,0,Desktop,Password,68,Moldova
3329,115,4,19,10,0,3,0,Tablet,Password,26,Suriname
7328,102,7,3,1,3,1,0,Tablet,OTP,32,Montserrat
9803,3,8,7,10,1,0,0,Desktop,Not Required,58,Poland
6917,116,2,2,2,5,0,0,Tablet,Biometric,53,Northern Mariana Islands
3711,95,1,4,2,5,3,1,Mobile,Biometric,57,Argentina
9169,46,2,16,1,1,0,0,Desktop,Not Required,49,Ghana
2507,100,1,1,5,3,0,0,Mobile,OTP,21,United Kingdom
2751,71,5,12,10,3,1,0,Tablet,Password,22,United States of America
7385,104,5,8,1,4,1,0,Desktop,Not Required,39,Costa Rica
3673,79,10,18,2,0,2,1,Tablet,Password,50,Bahrain
6744,43,3,16,10,4,0,1,Mobile,Biometric,63,Australia
974,83,8,11,1,1,0,0,Tablet,Password,62,Morocco
4638,103,8,10,10,1,0,0,Mobile,OTP,34,Canada
4894,104,7,14,5,4,1,0,Tablet,Biometric,18,Grenada
8157,12,1,20,2,2,0,1,Desktop,Not Required,23,Sudan
4925,32,8,17,1,1,2,1,Desktop,Password,59,Albania
394,19,10,11,3,1,0,0,Desktop,Not Required,56,Costa Rica
1118,6,2,14,2,0,0,1,Mobile,OTP,52,Falkland Islands (Malvinas)
9694,13,7,2,1,4,2,1,Desktop,Password,48,Gabon
2421,41,10,6,10,2,3,1,Tablet,Password,69,Lebanon
1739,6,4,1,1,2,3,1,Desktop,Password,26,San Marino
4452,105,7,3,5,3,2,1,Desktop,Password,38,Sri Lanka
4781,24,10,16,3,0,0,0,Tablet,OTP,40,Syrian Arab Republic
9780,38,8,15,1,3,1,0,Mobile,OTP,46,Cocos (Keeling) Islands
8589,111,6,20,3,4,3,0,Tablet,Biometric,37,El Salvador
1423,62,3,18,10,4,0,0,Tablet,Biometric,64,Isle of Man
4833,51,1,1,3,0,3,1,Tablet,OTP,30,Saint Pierre and Miquelon
2633,98,8,4,2,5,2,1,Mobile,OTP,54,Jordan
1705,102,4,1,5,1,2,1,Tablet,OTP,57,Oman
6995,81,3,7,5,1,0,1,Mobile,Biometric,32,Antigua and Barbuda
9856,46,4,17,3,1,2,1,Mobile,Biometric,35,Austria
3090,84,6,9,5,2,3,0,Mobile,OTP,32,Syrian Arab Republic
9010,19,2,12,10,3,2,1,Tablet,Password,69,Bahamas
3835,64,4,17,2,3,3,0,Desktop,Password,23,Lebanon
464,77,5,1,1,1,2,1,Desktop,Password,31,Guinea-Bissau
7487,72,6,16,2,4,3,0,Tablet,Biometric,38,Latvia
1164,67,7,17,2,4,1,0,Tablet,Biometric,21,Ireland
6196,2,7,8,2,4,2,1,Mobile,OTP,62,Equatorial Guinea
5441,108,8,11,5,3,3,0,Mobile,Biometric,18,Turkey
2904,76,9,19,3,2,3,0,Desktop,Password,44,Saint Helena
8267,65,6,7,2,0,0,0,Tablet,Password,36,Korea
5310,5,10,18,2,4,0,1,Desktop,Not Required,44,Tajikistan
5527,68,3,18,1,4,2,0,Tablet,Biometric,47,Saint Pierre and Miquelon
6203,76,4,9,5,3,2,0,Mobile,Biometric,27,France
2413,98,1,19,3,3,0,0,Mobile,Biometric,28,Pitcairn Islands
1928,68,3,12,5,5,2,1,Tablet,Biometric,59,Taiwan
4699,107,6,18,5,0,0,0,Mobile,OTP,27,Romania
5637,22,6,14,1,1,2,1,Mobile,OTP,61,Vietnam
1623,58,2,13,10,2,3,0,Mobile,OTP,24,Chad
273,47,2,9,2,2,1,0,Mobile,Biometric,26,China
5420,74,5,5,3,5,0,0,Tablet,Biometric,35,Mali
3251,91,6,6,3,0,0,1,Tablet,OTP,55,Rwanda
7992,108,9,17,2,0,1,1,Tablet,OTP,37,Zambia
5527,96,10,13,1,3,1,1,Desktop,Not Required,47,Saint Pierre and Miquelon
3799,80,1,2,2,2,2,0,Mobile,Biometric,26,Canada
5503,19,1,5,2,3,0,1,Mobile,OTP,41,Uzbekistan
6860,102,1,20,2,0,1,1,Desktop,Not Required,29,Sao Tome and Principe
9574,90,10,16,5,2,2,1,Tablet,OTP,57,Oman
997,87,1,16,3,3,2,0,Desktop,Password,21,Grenada
5511,19,5,20,10,4,0,1,Mobile,OTP,34,Zambia
3631,102,1,9,5,5,3,1,Tablet,Biometric,42,Botswana
9697,93,8,8,1,1,0,0,Desktop,Not Required,56,Greenland
449,32,2,20,5,1,3,0,Tablet,OTP,30,Tunisia
2261,95,4,14,3,2,1,1,Mobile,OTP,44,French Guiana
8420,68,4,14,3,4,2,1,Tablet,Biometric,39,British Virgin Islands
1719,64,9,13,2,4,3,0,Desktop,Password,33,Wallis and Futuna
4652,16,2,20,1,3,1,1,Tablet,Password,49,United Arab Emirates
483,103,1,16,3,2,0,0,Tablet,Password,41,Mayotte
9053,96,1,15,2,4,3,0,Tablet,Biometric,70,Sao Tome and Principe
8129,62,10,8,1,5,3,0,Tablet,Biometric,41,United Arab Emirates
673,18,2,4,2,5,0,1,Tablet,Biometric,20,Turks and Caicos Islands
7342,88,8,2,2,4,1,1,Desktop,Not Required,22,South Georgia and the South Sandwich Islands
1076,49,7,12,1,2,0,0,Desktop,Not Required,27,Guernsey
6919,104,4,1,1,5,3,1,Tablet,Biometric,40,Saint Kitts and Nevis
3880,26,5,8,1,1,0,0,Tablet,OTP,56,Uganda
8743,49,9,10,1,1,3,1,Mobile,Biometric,25,Slovakia (Slovak Republic)
7360,79,5,15,3,4,2,1,Desktop,Password,34,Belarus
3886,16,3,12,5,1,2,0,Tablet,OTP,38,Central African Republic
1168,92,8,12,1,0,2,0,Desktop,Password,58,Czech Republic
5772,83,1,16,3,0,1,0,Tablet,OTP,58,Mauritius
2983,83,10,11,5,3,3,0,Tablet,Password,28,El Salvador
3763,91,9,18,10,5,0,1,Mobile,Biometric,23,Saint Martin
7704,112,10,12,10,0,0,0,Mobile,OTP,21,Tunisia
2741,36,2,18,5,3,2,1,Mobile,Biometric,58,Paraguay
1789,66,5,13,5,5,0,1,Mobile,OTP,47,Antigua and Barbuda
967,47,8,12,10,0,2,0,Mobile,Biometric,47,Kuwait
4902,39,7,18,3,2,2,1,Desktop,Password,65,Northern Mariana Islands
1605,14,5,9,1,2,1,0,Desktop,Not Required,67,Uganda
5757,48,9,4,2,1,3,0,Desktop,Password,62,Macao
8999,92,5,5,5,3,1,1,Tablet,Password,52,Lebanon
1541,30,6,12,3,1,3,1,Desktop,Password,36,Armenia
9409,54,4,10,1,0,1,1,Desktop,Not Required,57,Uganda
209,56,9,19,5,5,0,0,Desktop,Not Required,52,British Indian Ocean Territory (Chagos Archipelago)
8404,86,8,15,5,2,2,0,Tablet,OTP,25,Turks and Caicos Islands
7309,27,6,20,3,0,3,0,Mobile,Biometric,50,Marshall Islands
4030,19,8,4,2,3,2,1,Desktop,Password,57,Botswana
2530,110,4,14,1,3,1,0,Desktop,Not Required,36,New Caledonia
9218,74,4,17,1,0,0,1,Mobile,OTP,50,Myanmar
3840,75,3,17,5,0,3,0,Tablet,Password,33,Guam
2759,37,5,16,2,1,0,1,Desktop,Not Required,19,Papua New Guinea
9797,79,6,11,2,1,0,1,Mobile,OTP,59,Burundi
5730,58,10,16,3,2,3,0,Tablet,OTP,20,Turkmenistan
1898,51,8,6,10,2,0,0,Tablet,Password,51,Poland
9119,96,10,18,10,3,3,1,Desktop,Password,64,Thailand
8505,29,8,6,2,5,3,1,Desktop,Password,42,Guam
1231,20,1,20,5,0,0,1,Mobile,OTP,51,Guadeloupe
839,80,2,1,3,2,0,0,Tablet,OTP,48,Honduras
7405,25,7,2,3,4,1,1,Tablet,Biometric,58,Norway
3569,61,10,8,3,0,1,1,Mobile,Biometric,38,Lebanon
7630,92,10,10,2,2,1,0,Tablet,Password,68,Saint Martin
6090,89,9,11,2,4,2,0,Mobile,Biometric,33,Liberia
9523,26,6,14,2,3,3,0,Tablet,Password,30,Sao Tome and Principe
3154,4,9,2,2,3,1,0,Tablet,Password,64,Congo
1360,53,8,14,5,1,3,1,Desktop,Password,49,Western Sahara
4186,117,3,9,5,4,3,1,Desktop,Password,52,Bermuda
6564,20,10,4,3,4,1,0,Tablet,Biometric,21,Czech Republic
1072,100,7,4,3,2,0,0,Mobile,OTP,54,Vietnam
7980,62,2,3,2,2,3,1,Mobile,Biometric,58,Macao
8264,9,1,1,3,4,3,0,Desktop,Password,33,North Macedonia
6758,108,10,13,10,1,2,0,Desktop,Password,61,Dominican Republic
6196,91,2,9,10,2,2,0,Desktop,Password,62,Equatorial Guinea
979,78,1,19,1,2,0,0,Tablet,Password,70,Sao Tome and Principe
6622,15,3,12,1,2,1,0,Tablet,OTP,52,Ecuador
7710,38,3,18,3,3,2,0,Mobile,Biometric,56,Chad
4763,31,6,12,5,0,3,0,Desktop,Password,60,Macao
6022,97,5,6,2,2,2,1,Desktop,Password,49,United States of America
336,58,8,1,10,1,1,0,Tablet,OTP,52,Albania
8792,49,7,3,1,0,2,0,Tablet,Password,63,Montenegro
8888,111,1,11,2,2,0,0,Tablet,OTP,33,Mayotte
348,102,1,20,10,2,2,1,Mobile,OTP,47,Guinea
3026,61,4,12,3,3,3,1,Mobile,OTP,53,Cameroon
5947,16,9,1,3,5,0,0,Tablet,Biometric,57,Afghanistan
6421,16,8,19,3,0,0,0,Mobile,Biometric,22,Pakistan
462,78,5,18,5,5,2,1,Mobile,Biometric,67,French Guiana
908,79,4,4,1,1,1,0,Mobile,Biometric,43,Christmas Island
1833,40,10,7,5,1,0,1,Tablet,Password,70,Syrian Arab Republic
9118,61,3,5,10,4,0,1,Mobile,Biometric,52,Czech Republic
8093,28,8,17,5,2,2,1,Desktop,Password,20,Iraq
7480,87,8,19,1,0,1,1,Desktop,Not Required,21,Saint Vincent and the Grenadines
6763,108,10,11,2,4,0,1,Mobile,Biometric,52,Tajikistan
5341,47,2,19,2,4,1,1,Tablet,Biometric,66,Samoa
0,119,10,5,5,4,2,0,Mobile,Biometric,28,Portugal
6473,69,5,6,5,0,3,1,Desktop,Password,61,Puerto Rico
7240,54,6,2,5,3,2,0,Mobile,OTP,30,Indonesia
3950,78,3,14,3,5,1,0,Mobile,Biometric,40,Saint Kitts and Nevis
2832,13,2,19,10,3,1,1,Tablet,OTP,68,Gibraltar
4273,78,6,6,10,2,3,1,Tablet,Password,33,Fiji
1860,73,9,8,5,1,3,0,Desktop,Password,43,Gabon
7171,12,5,8,2,0,2,0,Tablet,OTP,27,Saint Barthelemy
3860,54,10,1,10,0,2,1,Tablet,OTP,28,Palestinian Territory
8932,111,1,1,3,2,0,0,Tablet,OTP,65,Kazakhstan
9791,83,5,2,5,5,1,0,Tablet,Biometric,31,Greece
1307,25,7,12,1,4,2,1,Tablet,Biometric,38,Czech Republic
6923,59,1,3,1,0,3,1,Desktop,Password,37,Malaysia
1154,114,8,16,3,2,3,1,Tablet,Password,32,Liechtenstein
6482,3,2,6,1,2,1,1,Mobile,OTP,49,Paraguay
9531,54,7,8,2,4,0,1,Tablet,Biometric,23,Afghanistan
268,83,3,20,5,2,0,1,Mobile,OTP,36,Portugal
8028,82,7,10,1,3,0,0,Tablet,OTP,48,Ireland
687,58,3,6,5,1,0,1,Mobile,OTP,49,Israel
8082,29,1,9,2,3,1,0,Desktop,Not Required,59,Armenia
5581,33,1,8,5,1,1,0,Mobile,Biometric,62,Isle of Man
4832,88,6,16,10,0,2,0,Tablet,Password,40,Bermuda
3655,6,10,11,5,5,3,1,Mobile,Biometric,31,Heard Island and McDonald Islands
206,44,6,10,2,2,1,0,Desktop,Not Required,55,Mayotte
7554,99,10,1,2,3,0,0,Tablet,OTP,68,United States Minor Outlying Islands
1898,2,8,16,5,2,1,1,Desktop,Not Required,51,Poland
984,60,6,13,5,4,2,0,Tablet,Biometric,65,Kuwait
8217,27,6,14,5,0,0,1,Mobile,OTP,25,Timor-Leste
3645,1,1,11,1,2,1,0,Desktop,Not Required,56,Vanuatu
1682,98,10,12,1,0,1,1,Desktop,Not Required,57,Guatemala
4287,58,7,10,3,5,2,1,Tablet,Biometric,64,French Polynesia
946,40,9,5,1,2,3,0,Desktop,Password,30,British Indian Ocean Territory (Chagos Archipelago)
3077,63,3,3,2,0,0,0,Desktop,Not Required,65,Bhutan
4542,8,3,10,5,3,1,0,Desktop,Not Required,19,Algeria
6451,49,4,6,5,4,2,0,Mobile,OTP,19,Venezuela
9295,74,7,17,1,5,3,0,Desktop,Password,21,Afghanistan
7417,115,6,18,2,4,2,0,Mobile,OTP,31,Ecuador
3285,116,5,5,10,3,1,0,Mobile,Biometric,41,Serbia
1484,100,10,3,10,2,2,1,Tablet,OTP,47,Egypt
1960,35,10,8,2,3,0,0,Mobile,OTP,26,Grenada
4932,56,7,7,2,1,2,0,Tablet,Password,67,Angola
6430,23,3,13,1,1,0,0,Desktop,Not Required,66,Netherlands Antilles
8825,36,6,9,10,2,0,0,Mobile,OTP,51,Macao
5433,2,9,15,1,3,2,0,Mobile,Biometric,45,Saint Martin
9075,116,4,14,1,4,0,0,Tablet,Biometric,50,Saint Lucia
350,51,8,9,10,1,0,1,Desktop,Not Required,57,Albania
2717,117,10,11,5,3,3,1,Tablet,Password,62,Poland
8293,82,9,10,10,5,0,0,Desktop,Not Required,50,Egypt
3441,4,8,1,5,4,2,0,Tablet,Biometric,22,Somalia
1840,36,6,8,5,3,0,0,Mobile,OTP,67,Hungary
1831,29,7,12,3,1,1,0,Mobile,Biometric,23,Burkina Faso
6299,97,8,13,2,1,0,0,Mobile,Biometric,69,Mali
